Locus_tag	Product	Protein_ID	Start	End
pgaptmp_000929	tetratricopeptide repeat protein	WP_017825968.1	39826	40752
pgaptmp_000930	flavin reductase	WP_017352952.1	40942	41445
pgaptmp_000931	hypothetical protein	WP_017825966.1	41564	42214
pgaptmp_000932	MarR family winged helix-turn-helix transcriptional regulator	WP_012423513.1	42466	42915
pgaptmp_000933	beta-ketoacyl-ACP synthase III	WP_003370176.1	42930	43898
pgaptmp_000934	acyl carrier protein	WP_012425798.1	43970	44194
pgaptmp_000935	enoyl-[acyl-carrier-protein] reductase FabK	WP_003373931.1	44304	45245
pgaptmp_000936	ACP S-malonyltransferase	WP_003373225.1	45238	46179
pgaptmp_000937	3-oxoacyl-[acyl-carrier-protein] reductase	WP_003477766.1	46200	46940
pgaptmp_000938	beta-ketoacyl-ACP synthase II	WP_012450761.1	46958	48199
pgaptmp_000939	acetyl-CoA carboxylase biotin carboxyl carrier protein	WP_003373233.1	48211	48702
pgaptmp_000940	3-hydroxyacyl-ACP dehydratase FabZ	WP_003370298.1	48708	49136
pgaptmp_000941	acetyl-CoA carboxylase biotin carboxylase subunit	WP_003374517.1	49146	50498
pgaptmp_000942	acetyl-CoA carboxylase%2C carboxyltransferase subunit beta	WP_012424303.1	50491	51366
pgaptmp_000943	acetyl-CoA carboxylase carboxyltransferase subunit alpha	WP_012450166.1	51359	52183
pgaptmp_000944	DUF4003 family protein	WP_012450904.1	52364	53305
pgaptmp_000945	HutP family protein	WP_012449426.1	53339	53752
pgaptmp_000946	SDR family NAD(P)-dependent oxidoreductase	WP_012450137.1	54168	54968
pgaptmp_000947	selenium-dependent xanthine dehydrogenase	WP_003370144.1	55381	57937
pgaptmp_000948	nucleotidyltransferase family protein	WP_012451926.1	58023	58700
pgaptmp_000949	molybdopterin-binding protein	WP_003370884.1	58700	59722
pgaptmp_000950	cyclic pyranopterin monophosphate synthase MoaC	WP_012422651.1	59736	60215
pgaptmp_000951	GTP 3'%2C8-cyclase MoaA	WP_012449785.1	60276	61256
pgaptmp_000952	MOSC domain-containing protein	WP_012424812.1	61259	61714
pgaptmp_000953	replication-associated recombination protein A	WP_012423065.1	61886	63172
pgaptmp_000954	RrF2 family transcriptional regulator	WP_014521378.1	63209	63652
pgaptmp_000955	cysteine desulfurase NifS	WP_011968439.1	63656	64837
pgaptmp_000956	Fe-S cluster assembly scaffold protein NifU	WP_009169040.1	64839	65276
pgaptmp_000957	tRNA 2-thiouridine(34) synthase MnmA	WP_003369813.1	65277	66362
pgaptmp_000958	PRC-barrel domain-containing protein	WP_003374520.1	66805	67305
pgaptmp_000959	AI-2E family transporter	WP_012424826.1	67283	68314
pgaptmp_000960	alanine--tRNA ligase	WP_017352925.1	68685	71324
pgaptmp_000961	IreB family regulatory phosphoprotein	WP_008424959.1	71517	71774
pgaptmp_000962	Holliday junction resolvase RuvX	WP_012423310.1	71826	72239
pgaptmp_000963	DUF1292 domain-containing protein	WP_012450338.1	72448	72714
pgaptmp_000964	Fur family transcriptional regulator	WP_003373590.1	72758	73222
pgaptmp_000965	ribonuclease J	WP_003475149.1	73286	74953
pgaptmp_000966	translational GTPase TypA	WP_011968450.1	75148	76974
pgaptmp_000967	endolytic transglycosylase MltG	WP_012423338.1	77071	78099
pgaptmp_000968	O-methyltransferase	WP_003372888.1	78119	78763
pgaptmp_000969	peptidase U32 family protein	WP_003371098.1	78770	80005
pgaptmp_000970	penicillin-binding transpeptidase domain-containing protein	WP_012424565.1	80171	81685
pgaptmp_000971	RNA polymerase sporulation sigma factor SigK	WP_012450242.1	81768	82466
pgaptmp_000972	type IV pilus twitching motility protein PilT	WP_012450840.1	82633	83664
pgaptmp_000973	cell division FtsA domain-containing protein	WP_003369946.1	83757	85010
pgaptmp_000974	cell division protein FtsZ	WP_012425045.1	85024	86166
pgaptmp_000975	sigma-E processing peptidase SpoIIGA	WP_003373756.1	86469	87269
pgaptmp_000976	RNA polymerase sporulation sigma factor SigE	WP_015391356.1	87282	87989
pgaptmp_000977	RNA polymerase sporulation sigma factor SigG	WP_012425713.1	88071	88844
pgaptmp_000978	YlmC/YmxH family sporulation protein	WP_003369218.1	89124	89396
pgaptmp_000979	transcriptional regulator NrdR	WP_012423801.1	89466	89918
pgaptmp_000980	peptidoglycan editing factor PgeF	WP_012450537.1	90146	90838
pgaptmp_000981	winged helix-turn-helix domain-containing protein	WP_017352921.1	90850	91554
pgaptmp_000982	ATP-binding protein	WP_017352920.1	91554	93242
pgaptmp_000983	phosphate ABC transporter substrate-binding protein	WP_003372648.1	93481	94374
pgaptmp_000984	phosphate ABC transporter permease subunit PstC	WP_017210780.1	94396	95286
pgaptmp_000985	phosphate ABC transporter permease PstA	WP_002579562.1	95286	96170
pgaptmp_000986	phosphate ABC transporter ATP-binding protein PstB	WP_002579563.1	96184	96933
pgaptmp_000987	phosphate signaling complex protein PhoU	WP_012423705.1	96952	97608
pgaptmp_000988	radical SAM protein	WP_012451522.1	97802	99136
pgaptmp_000989	ribosome biogenesis GTPase Der	WP_012449707.1	99136	100452
pgaptmp_000990	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	WP_011968475.1	100455	101447
pgaptmp_000991	stage IV sporulation protein A	WP_008424873.1	101596	103074
pgaptmp_000992	PBECR2 nuclease fold domain-containing protein	WP_003371212.1	103234	103656
pgaptmp_000993	asparaginase	WP_017352895.1	103810	104799
pgaptmp_000994	NCS2 family permease	WP_012451583.1	105093	106460
pgaptmp_000995	YicC/YloC family endoribonuclease	WP_003373497.1	106890	107771
pgaptmp_000996	extracellular matrix/biofilm regulator RemA	WP_003458433.1	107785	108054
pgaptmp_000997	guanylate kinase	WP_012425412.1	108054	108692
pgaptmp_000998	DNA-directed RNA polymerase subunit omega	WP_012423144.1	108673	108873
pgaptmp_000999	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	WP_003373992.1	108894	110072
pgaptmp_001000	primosomal protein N'	WP_017826135.1	110136	112337
pgaptmp_001001	peptide deformylase	WP_003371433.1	112350	112793
pgaptmp_001002	methionyl-tRNA formyltransferase	WP_017352900.1	112807	113736
pgaptmp_001003	zinc metallopeptidase	WP_003371026.1	113777	114454
pgaptmp_001004	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	WP_003372357.1	114472	115788
pgaptmp_001005	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	WP_003369449.1	115803	116846
pgaptmp_001006	Stp1/IreP family PP2C-type Ser/Thr phosphatase	WP_017352902.1	116848	117567
pgaptmp_001007	Stk1 family PASTA domain-containing Ser/Thr kinase	WP_017826134.1	117569	119524
pgaptmp_001008	ribosome small subunit-dependent GTPase A	WP_003370400.1	119664	120536
pgaptmp_001009	ribulose-phosphate 3-epimerase	WP_003370389.1	120530	121174
pgaptmp_001010	thiamine diphosphokinase	WP_003371896.1	121183	121821
pgaptmp_001011	50S ribosomal protein L28	WP_008424849.1	122083	122274
pgaptmp_001012	Asp23/Gls24 family envelope stress response protein	WP_015391389.1	122472	122822
pgaptmp_001013	DAK2 domain-containing protein	WP_017352906.1	122836	124482
pgaptmp_001014	ATP-dependent DNA helicase RecG	WP_017826132.1	124549	126582
pgaptmp_001015	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	WP_003373520.1	126645	127202
pgaptmp_001016	pantetheine-phosphate adenylyltransferase	WP_003371809.1	127205	127684
pgaptmp_001017	ATPase	WP_012450458.1	127696	128238
pgaptmp_001018	sporulation integral membrane protein YlbJ	WP_012450886.1	128218	129393
pgaptmp_001019	nucleotidyltransferase	WP_003370129.1	129599	130795
pgaptmp_001020	phosphate acetyltransferase	WP_003374371.1	131084	132082
pgaptmp_001021	acetate kinase	WP_003372530.1	132108	133304
pgaptmp_001022	YceD family protein	WP_017826130.1	133434	133940
pgaptmp_001023	50S ribosomal protein L32	WP_003449428.1	133943	134125
pgaptmp_001024	phosphate acyltransferase PlsX	WP_017826128.1	134302	135303
pgaptmp_001025	acyl carrier protein	WP_003458423.1	135392	135622
pgaptmp_001026	ribonuclease III	WP_012423763.1	135741	136439
pgaptmp_001027	elongator complex protein 3	WP_003372018.1	136432	137454
pgaptmp_001028	DUF4044 domain-containing protein	-2+	137635	137733
pgaptmp_001029	chromosome segregation protein SMC	WP_003374015.1	137746	141303
pgaptmp_001030	signal recognition particle-docking protein FtsY	WP_011968511.1	141498	142406
pgaptmp_001031	putative DNA-binding protein	WP_012424426.1	142607	142936
pgaptmp_001032	signal recognition particle protein	WP_014521262.1	142951	144309
pgaptmp_001033	30S ribosomal protein S16	WP_008424801.1	144344	144589
pgaptmp_001034	KH domain-containing protein	WP_010965063.1	144639	144866
pgaptmp_001035	ribosome maturation factor RimM	WP_017352911.1	144942	145439
pgaptmp_001036	tRNA (guanosine(37)-N1)-methyltransferase TrmD	WP_003372749.1	145429	146145
pgaptmp_001037	50S ribosomal protein L19	WP_002579614.1	146267	146617
pgaptmp_001038	ribosome biogenesis GTPase YlqF	WP_003374306.1	146731	147588
pgaptmp_001039	ribonuclease HII	WP_003373412.1	147581	148396
pgaptmp_001040	YraN family protein	WP_012423640.1	148442	148810
pgaptmp_001041	YifB family Mg chelatase-like AAA ATPase	WP_012422998.1	148992	150512
pgaptmp_001042	DNA-processing protein DprA	WP_012425184.1	150533	151591
pgaptmp_001043	type I DNA topoisomerase	WP_012424370.1	151643	153730
pgaptmp_001044	GTP-sensing pleiotropic transcriptional regulator CodY	WP_003449426.1	153923	154699
pgaptmp_001045	30S ribosomal protein S2	WP_003374170.1	154931	155632
pgaptmp_001046	translation elongation factor Ts	WP_003459744.1	155815	156726
pgaptmp_001047	UMP kinase	WP_003373447.1	156835	157548
pgaptmp_001048	ribosome recycling factor	WP_012425335.1	157559	158116
pgaptmp_001049	isoprenyl transferase	WP_003362572.1	158217	158975
pgaptmp_001050	phosphatidate cytidylyltransferase	WP_002579627.1	158990	159784
pgaptmp_001051	AI-2E family transporter	WP_003372811.1	160040	161011
pgaptmp_001052	1-deoxy-D-xylulose-5-phosphate reductoisomerase	WP_012450747.1	161062	162219
pgaptmp_001053	M50 family metallopeptidase	WP_003368993.1	162226	163254
pgaptmp_001054	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	WP_003371397.1	163266	164315
pgaptmp_001055	PolC-type DNA polymerase III	WP_017354154.1	164384	168778
pgaptmp_001056	ribosome maturation factor RimP	WP_011968535.1	169062	169523
pgaptmp_001057	transcription termination factor NusA	WP_012424921.1	169541	170695
pgaptmp_001058	RNase P modulator RnpM	WP_003372910.1	170710	170976
pgaptmp_001059	ribosomal L7Ae/L30e/S12e/Gadd45 family protein	WP_003374764.1	170969	171289
pgaptmp_001060	translation initiation factor IF-2	WP_012422908.1	171309	173372
pgaptmp_001061	30S ribosome-binding factor RbfA	WP_012423722.1	173386	173736
pgaptmp_001062	DHH family phosphoesterase	WP_012450277.1	173736	174713
pgaptmp_001063	tRNA pseudouridine(55) synthase TruB	WP_012425187.1	174710	175585
pgaptmp_001064	bifunctional riboflavin kinase/FAD synthetase	WP_003373723.1	175602	176528
pgaptmp_001065	30S ribosomal protein S15	WP_003449423.1	176645	176908
pgaptmp_001066	polyribonucleotide nucleotidyltransferase	WP_011968545.1	176989	179094
pgaptmp_001067	M16 family metallopeptidase	WP_012450093.1	179354	180661
pgaptmp_001068	YlmC/YmxH family sporulation protein	WP_008424744.1	180730	181011
pgaptmp_001069	aspartate kinase	WP_003374616.1	181134	182333
pgaptmp_001070	ClpP family protease	WP_003373765.1	182398	183096
pgaptmp_001071	DNA translocase FtsK 4TM domain-containing protein	WP_003371799.1	183215	185569
pgaptmp_001072	30S ribosomal protein S12 methylthiotransferase RimO	WP_003459746.1	185671	187011
pgaptmp_001073	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	WP_012424315.1	186995	187585
pgaptmp_001074	recombinase RecA	WP_012425538.1	187754	188824
pgaptmp_001075	ribonuclease Y	WP_003371272.1	189172	190716
pgaptmp_001076	stage V sporulation protein S	WP_003866776.1	190864	191124
pgaptmp_001077	HPr family phosphocarrier protein	WP_003459789.1	191251	191511
pgaptmp_001078	DUF378 domain-containing protein	WP_012425861.1	191666	191890
pgaptmp_001079	adenylosuccinate lyase	WP_012424907.1	192061	193491
pgaptmp_001080	amidase domain-containing protein	WP_012451546.1	193618	194601
pgaptmp_001081	DUF6398 domain-containing protein	WP_017826216.1	194891	196099
pgaptmp_001082	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	WP_012423195.1	196711	197802
pgaptmp_001083	riboflavin synthase	WP_012449587.1	197817	198467
pgaptmp_001084	bifunctional 3%2C4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II	WP_012450308.1	198496	199689
pgaptmp_001085	6%2C7-dimethyl-8-ribityllumazine synthase	WP_012425143.1	199781	200242
pgaptmp_001086	DeoR/GlpR family DNA-binding transcription regulator	WP_012451577.1	200552	201313
pgaptmp_001087	iron-containing alcohol dehydrogenase	WP_017354167.1	201546	202700
pgaptmp_001088	class II fructose-bisphosphate aldolase	WP_003475320.1	202706	203551
pgaptmp_001089	5-dehydro-2-deoxygluconokinase	WP_017826534.1	203629	204648
pgaptmp_001090	5-deoxy-glucuronate isomerase	WP_013726134.1	204663	205451
pgaptmp_001091	3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione acylhydrolase (decyclizing)	WP_017826536.1	205470	207401
pgaptmp_001092	inositol 2-dehydrogenase	WP_012450095.1	207418	208431
pgaptmp_001093	myo-inosose-2 dehydratase	WP_012451693.1	208527	209423
pgaptmp_001094	solute:sodium symporter family transporter	WP_003372358.1	209541	211133
pgaptmp_001095	hypothetical protein	WP_012423767.1	211384	211563
pgaptmp_001096	hypothetical protein	WP_012425263.1	211823	212059
pgaptmp_001097	NUDIX hydrolase	WP_017826539.1	212146	212751
pgaptmp_001098	NCS2 family permease	WP_017826540.1	212890	214182
pgaptmp_001099	hypothetical protein	WP_017354180.1	215036	215614
pgaptmp_001100	hypothetical protein	WP_012423624.1	215740	215880
pgaptmp_001101	iron-containing alcohol dehydrogenase family protein	WP_017826544.1	216557	217630
pgaptmp_001102	esterase	WP_012450582.1	217715	218278
pgaptmp_001103	manganese efflux pump	WP_003369554.1	218466	219089
pgaptmp_001104	2-isopropylmalate synthase	WP_017354183.1	219443	221116
pgaptmp_001105	hypothetical protein	WP_017354184.1	221358	222008
pgaptmp_001106	metallophosphoesterase	WP_012450878.1	222322	223179
pgaptmp_001107	leucine-rich repeat domain-containing protein	WP_012423590.1	223300	224775
pgaptmp_001108	M42 family metallopeptidase	WP_003371128.1	224814	225845
pgaptmp_001109	carbon monoxide dehydrogenase	WP_012425879.1	226189	226419
pgaptmp_001110	radical SAM protein	WP_012422657.1	226804	227790
pgaptmp_001111	MATE family efflux transporter	WP_003373015.1	228029	229390
pgaptmp_001112	hypothetical protein	WP_003371490.1	229493	229882
pgaptmp_001113	GTP-binding protein	WP_003369472.1	230064	231020
pgaptmp_001114	GTP-binding protein	WP_012422930.1	231035	231691
pgaptmp_001115	permease	WP_017826825.1	231681	232685
pgaptmp_001116	bacteriohemerythrin	WP_012451878.1	232791	233189
pgaptmp_001117	hypothetical protein	WP_012425074.1	233413	233967
pgaptmp_001118	DMT family transporter	WP_017826824.1	234099	235007
pgaptmp_001119	hypothetical protein	WP_012423976.1	235208	235417
pgaptmp_001120	DEAD/DEAH box helicase	WP_017354192.1	235560	236708
pgaptmp_001121	DEAD/DEAH box helicase	WP_012449685.1	237023	238465
pgaptmp_001122	methionyl aminopeptidase	WP_003368888.1	238950	239819
pgaptmp_001123	hypothetical protein	WP_003374026.1	240079	240216
pgaptmp_001124	hypothetical protein	WP_003413245.1	240536	240796
pgaptmp_001125	aspartyl protease family protein		240879	241187
pgaptmp_001126	IS30 family transposase	WP_011161461.1	241434	241595
pgaptmp_001127	electron transfer flavoprotein subunit beta/FixA family protein	WP_012423182.1	242122	242907
pgaptmp_001128	electron transfer flavoprotein subunit alpha/FixB family protein	WP_012423915.1	242929	243867
pgaptmp_001129	L-lactate permease	WP_017354205.1	244156	245701
pgaptmp_001130	FAD-binding oxidoreductase	WP_012425759.1	245849	247285
pgaptmp_001131	acyl-CoA dehydrogenase	WP_012424990.1	247458	248597
pgaptmp_001132	ABC-F family ATP-binding cassette domain-containing protein	WP_003372808.1	249027	250769
pgaptmp_001133	mannose/fructose/sorbose PTS transporter subunit IIA	WP_003455841.1	251615	252592
pgaptmp_001134	PTS mannose/fructose/sorbose transporter subunit IIC	WP_004442480.1	252625	253431
pgaptmp_001135	PTS system mannose/fructose/sorbose family transporter subunit IID	WP_011590387.1	253451	254362
pgaptmp_001136	DUF956 family protein	WP_003357823.1	254566	254940
pgaptmp_001137	chitinase N-terminal domain-containing protein	WP_012423890.1	255287	257362
pgaptmp_001138	chitinase	WP_012424424.1	257428	258504
pgaptmp_001139	serine hydrolase	WP_003411351.1	258800	260782
pgaptmp_001140	response regulator transcription factor	WP_012424320.1	260927	261622
pgaptmp_001141	sensor histidine kinase	WP_017354024.1	261612	262706
pgaptmp_001142	molybdate ABC transporter substrate-binding protein	WP_017825349.1	262993	263787
pgaptmp_001143	ABC transporter permease	WP_012422794.1	263830	264639
pgaptmp_001144	ATP-binding cassette domain-containing protein	WP_003371857.1	264660	265697
pgaptmp_001145	Rossmann-like domain-containing protein	WP_003373306.1	265719	266453
pgaptmp_001146	TVP38/TMEM64 family protein	WP_012424094.1	266763	267350
pgaptmp_001147	adenine deaminase	WP_012450185.1	267679	269424
pgaptmp_001148	asparagine synthase B	WP_012424330.1	269682	271271
pgaptmp_001149	DUF4317 domain-containing protein	WP_003370964.1	271882	273204
pgaptmp_001150	class I SAM-dependent methyltransferase	WP_003372758.1	273644	274432
pgaptmp_001151	cupin domain-containing protein	WP_012424132.1	274561	275058
pgaptmp_001152	amino acid permease	WP_017354032.1	276008	277390
pgaptmp_001153	phosphotransferase	WP_017354033.1	277437	278279
pgaptmp_001154	ABC transporter substrate-binding protein	WP_012425193.1	278865	279794
pgaptmp_001155	FecCD family ABC transporter permease	WP_017354034.1	279775	280800
pgaptmp_001156	ABC transporter ATP-binding protein	WP_012424743.1	280816	281577
pgaptmp_001157	diphthine--ammonia ligase	WP_012425547.1	281634	282284
pgaptmp_001158	response regulator transcription factor	WP_017353814.1	282577	283257
pgaptmp_001159	ABC transporter ATP-binding protein	WP_012423083.1	283366	284286
pgaptmp_001160	ABC transporter permease	WP_012423424.1	284279	285046
pgaptmp_001161	sensor histidine kinase	WP_012424378.1	285142	285963
pgaptmp_001162	glycosyltransferase family 39 protein	WP_017353816.1	285988	287433
pgaptmp_001163	nucleotidyltransferase substrate binding protein		287569	287787
pgaptmp_001164	MarR family winged helix-turn-helix transcriptional regulator	WP_012425456.1	288072	288506
pgaptmp_001165	MATE family efflux transporter	WP_017353819.1	288526	289908
pgaptmp_001166	peptidase U32	WP_003413215.1	290409	290528
pgaptmp_001167	FUSC family protein	WP_017353821.1	290693	292570
pgaptmp_001168	protein adenylyltransferase SelO	WP_012058719.1	292746	294221
pgaptmp_001169	YjdF family protein	WP_012451595.1	294407	294826
pgaptmp_001170	flagellin lysine-N-methylase	WP_003471758.1	295109	295327
pgaptmp_001171	serine dehydratase subunit alpha family protein	WP_017825747.1	295511	296788
pgaptmp_001172	DnaJ domain-containing protein	WP_003371877.1	296857	297609
pgaptmp_001173	MFS transporter	WP_017353828.1	297984	299189
pgaptmp_001174	MFS transporter	WP_012423692.1	299309	300535
pgaptmp_001175	ABC transporter permease	WP_002598234.1	300601	301254
pgaptmp_001176	glycine betaine ABC transporter substrate-binding protein	WP_017750516.1	301254	302147
pgaptmp_001177	ATP-binding cassette domain-containing protein	WP_017825743.1	302202	302933
pgaptmp_001178	cation-translocating P-type ATPase	WP_017353831.1	303550	305865
pgaptmp_001179	magnesium-translocating P-type ATPase	WP_002571344.1	306722	309421
pgaptmp_001180	MBL fold metallo-hydrolase	WP_017353833.1	309823	310680
pgaptmp_001181	TetR/AcrR family transcriptional regulator	WP_003358373.1	310969	311559
pgaptmp_001182	cation-transporting P-type ATPase		311768	311916
pgaptmp_001183	cation-translocating P-type ATPase		311941	314406
pgaptmp_001184	FAD-binding protein		314577	315761
pgaptmp_001185	NCS2 family permease	WP_013725946.1	316482	317885
pgaptmp_001186	carbonate dehydratase	WP_012424643.1	318128	318826
pgaptmp_001187	uracil-xanthine permease family protein	WP_017353835.1	319449	320780
pgaptmp_001188	acyl-CoA dehydrogenase family protein	WP_012423787.1	321175	323085
pgaptmp_001189	FprA family A-type flavoprotein	WP_008418684.1	323122	324321
pgaptmp_001190	glutamate/gamma-aminobutyrate family transporter YjeM	WP_017353837.1	324701	326212
pgaptmp_001191	hypothetical protein	-2+	326491	326622
pgaptmp_001192	hypothetical protein	-2+	326612	326779
pgaptmp_001193	MerR family transcriptional regulator	WP_003374549.1	326904	327278
pgaptmp_001194	1-deoxy-D-xylulose-5-phosphate synthase	WP_003372988.1	327465	329225
pgaptmp_001195	Cof-type HAD-IIB family hydrolase	WP_003371539.1	329349	330230
pgaptmp_001196	hypothetical protein	WP_017825731.1	330559	331023
pgaptmp_001197	sigma-54-dependent Fis family transcriptional regulator	WP_003374039.1	331318	333030
pgaptmp_001198	short-chain fatty acid transporter	WP_012449731.1	333357	334718
pgaptmp_001199	3-hydroxyacyl-CoA dehydrogenase family protein	WP_012450382.1	334749	335678
pgaptmp_001200	acyl CoA:acetate/3-ketoacid CoA transferase	WP_003372821.1	335739	337292
pgaptmp_001201	M20 metallopeptidase family protein	WP_012451455.1	337761	338939
pgaptmp_001202	integrase core domain-containing protein		339066	339281
pgaptmp_001203	family 20 glycosylhydrolase	WP_012424499.1	339571	341187
pgaptmp_001204	1-propanol dehydrogenase PduQ	WP_012425447.1	341368	342516
pgaptmp_001205	MerR family transcriptional regulator	WP_003373948.1	343015	343851
pgaptmp_001206	hypothetical protein	WP_012423533.1	344431	345528
pgaptmp_001207	hypothetical protein	WP_012342925.1	345528	345794
pgaptmp_001208	BMC domain-containing protein	WP_016207587.1	345819	346115
pgaptmp_001209	BMC domain-containing protein	WP_017353937.1	346142	346447
pgaptmp_001210	aldehyde dehydrogenase family protein	WP_017825763.1	346523	348013
pgaptmp_001211	choline trimethylamine-lyase	WP_003375661.1	348069	350609
pgaptmp_001212	choline TMA-lyase-activating enzyme	WP_010293437.1	350777	351730
pgaptmp_001213	BMC domain-containing protein	WP_011099665.1	351770	352123
pgaptmp_001214	EutP/PduV family microcompartment system protein	WP_012451479.1	352120	352560
pgaptmp_001215	ATP--cob(I)alamin adenosyltransferase	WP_014520995.1	352575	353246
pgaptmp_001216	ethanolamine utilization protein EutJ	WP_003402103.1	353228	354073
pgaptmp_001217	BMC domain-containing protein	WP_007059305.1	354089	354391
pgaptmp_001218	EutN/CcmL family microcompartment protein	WP_003372458.1	354388	354651
pgaptmp_001219	4Fe-4S dicluster domain-containing protein	WP_003374023.1	354669	355997
pgaptmp_001220	BMC domain-containing protein	WP_003374718.1	355999	356547
pgaptmp_001221	cupin domain-containing protein	WP_014520993.1	356605	357267
pgaptmp_001222	BMC domain-containing protein	WP_003370801.1	357290	358048
pgaptmp_001223	acetaldehyde dehydrogenase (acetylating)	WP_012423443.1	358087	359646
pgaptmp_001224	phosphate propanoyltransferase	WP_012100092.1	359647	360297
pgaptmp_001225	ethanolamine utilization microcompartment protein EutM	WP_003358305.1	360354	360644
pgaptmp_001226	MurR/RpiR family transcriptional regulator		360909	361655
pgaptmp_001227	PTS sugar transporter subunit IIA		361812	362171
pgaptmp_001228	fructose PTS transporter subunit IIB		362180	362698
pgaptmp_001229	hypothetical protein		362695	363297
pgaptmp_001230	hypothetical protein		363294	363653
pgaptmp_001231	glycoside hydrolase family 38 C-terminal domain-containing protein		363650	365206
pgaptmp_001232	hypothetical protein	-2+	365306	365461
pgaptmp_001233	YjdF family protein		365677	365916
pgaptmp_001234	hypothetical protein		365966	366037
pgaptmp_001235	flavin reductase	WP_009167507.1	366168	366812
pgaptmp_001236	bacteriohemerythrin	WP_003371838.1	366984	367373
pgaptmp_001237	NCS2 family permease	WP_017825768.1	367878	369272
pgaptmp_001238	hydrogenase nickel incorporation protein HypB	WP_012423813.1	369703	370383
pgaptmp_001239	FAD-dependent oxidoreductase	WP_003371844.1	370405	373095
pgaptmp_001240	hydrogenase maturation nickel metallochaperone HypA	WP_017353934.1	373204	373545
pgaptmp_001241	ABC transporter substrate-binding protein	WP_003368958.1	373596	374618
pgaptmp_001242	FecCD family ABC transporter permease	WP_017353932.1	374618	375700
pgaptmp_001243	ABC transporter ATP-binding protein	WP_003372503.1	375700	376536
pgaptmp_001244	DUF2920 family protein	WP_012422847.1	376890	378017
pgaptmp_001245	DEAD/DEAH box helicase	WP_012423474.1	378128	379231
pgaptmp_001246	zinc-ribbon domain-containing protein	WP_003371037.1	379654	379806
pgaptmp_001247	DUF4428 domain-containing protein		380169	380951
pgaptmp_001248	hypothetical protein	-2+	381094	381219
