,Query ID,Subject ID,Genome,Genome ID,Accession,Description,Sequence Type,Identity (%),Query cover (%),Subject cover (%,Hit from,Hit to,Query Length,Subject Length,Score,E value
,NODE_2_length_747316_cov_10.756023,1492.48.CP013252,Clostridium butyricum strain KNU-L09,1492.48,CP013252,"Clostridium butyricum strain KNU-L09 chromosome 1, complete sequence.",chromosome,84,1.16,0.23,2981905,2990575,747316,3824894,8470,0
,NODE_2_length_747316_cov_10.756023,137838.3.LN890328,Clostridium neonatale,137838.3,LN890328,"Clostridium neonatale genome assembly Clostridium neonatale, scaffold scaffold00017, whole genome shotgun sequence.",contig,84,1.16,0.27,482528,473882,747316,3165521,8206,0
,NODE_2_length_747316_cov_10.756023,1280689.3.AUJC01000001,Clostridium paraputrificum AGR2156,1280689.3,AUJC01000001,"Clostridium paraputrificum AGR2156 G594DRAFT_scaffold00001.1_C, whole genome shotgun sequence.",chromosome,78,1.16,1.20,145412,154074,747316,719109,5482,0
,NODE_2_length_747316_cov_10.756023,1391647.3.AVSV01000003,Clostridium sp. Ade.TY,1391647.3,AVSV01000003,"Clostridium sp. Ade.TY contig3, whole genome shotgun sequence.",chromosome,80,1.04,1.73,301498,293773,747316,446032,5438,0
,NODE_2_length_747316_cov_10.756023,1345695.3.CP006721,Clostridium saccharobutylicum DSM 13864,1345695.3,CP006721,"Clostridium saccharobutylicum DSM 13864, complete genome.",chromosome,82,0.77,0.11,3396523,3402262,747316,5107814,4775,0
,NODE_2_length_747316_cov_10.756023,1415775.6.CP006905,Clostridium baratii str. Sullivan,1415775.6,CP006905,"Clostridium baratii str. Sullivan, complete genome.",chromosome,82,0.70,0.17,2013493,2008236,747316,3153266,4488,0
,NODE_2_length_747316_cov_10.756023,457396.3.NZ_EQ999773,Clostridium sp. 7_2_43FAA,457396.3,NZ_EQ999773,"Clostridium sp. 7_2_43FAA genomic scaffold supercont1.1, whole genome shotgun sequence.",chromosome,80,0.71,0.16,2951778,2957053,747316,3237979,3850,0
,NODE_2_length_747316_cov_10.756023,1410653.3.JHVC01000003,Clostridium lundense DSM 17049,1410653.3,JHVC01000003,"Clostridium lundense DSM 17049 T514DRAFT_scaffold00003.3_C, whole genome shotgun sequence.",scaffold,88,0.43,1.01,151535,154720,747316,314562,3838,0
,NODE_3_length_531494_cov_9.181189,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,99,7.18,1.00,2486005,2524139,531494,3800327,67411,0
,NODE_3_length_531494_cov_9.181189,137838.3.LN890328,Clostridium neonatale,137838.3,LN890328,"Clostridium neonatale genome assembly Clostridium neonatale, scaffold scaffold00017, whole genome shotgun sequence.",contig,75,2.06,0.34,728100,717210,531494,3165521,5028,0
,NODE_3_length_531494_cov_9.181189,931276.5.CP004121,Clostridium saccharoperbutylacetonicum N1-4(HMT) strain N1-4(HMT),931276.5,CP004121,"Clostridium saccharoperbutylacetonicum N1-4(HMT), complete genome.",chromosome,76,1.68,0.14,2979476,2970561,531494,6530257,4435,0
,NODE_3_length_531494_cov_9.181189,290402.41.NC_009617,Clostridium beijerinckii NCIMB 8052,290402.41,NC_009617,"Clostridium beijerinckii NCIMB 8052, complete genome.",chromosome,76,1.68,0.15,1979425,1970506,531494,6000632,4374,0
,NODE_3_length_531494_cov_9.181189,1345695.3.CP006721,Clostridium saccharobutylicum DSM 13864,1345695.3,CP006721,"Clostridium saccharobutylicum DSM 13864, complete genome.",chromosome,76,1.57,0.16,3008595,3016897,531494,5107814,4117,0
,NODE_3_length_531494_cov_9.181189,1033737.3.CAEV01000005,Clostridium sp. JC122,1033737.3,CAEV01000005,"Clostridium sp. JC122, WGS project CAEV00000000 data, contig00005, whole genome shotgun sequence.",chromosome,88,0.61,10.19,148,3390,531494,31823,3842,0
,NODE_3_length_531494_cov_9.181189,1196322.3.ALXI01000010,Clostridium sp. Maddingley MBC34-26,1196322.3,ALXI01000010,"Clostridium sp. Maddingley MBC34-26 contig_14_2, whole genome shotgun sequence.",chromosome,82,0.74,3.08,105143,101227,531494,127158,3264,0
,NODE_3_length_531494_cov_9.181189,641107.3.AFWX01000002,Clostridium sp. DL-VIII,641107.3,AFWX01000002,"Clostridium sp. DL-VIII CDLVIIIscaffold_1_Cont2, whole genome shotgun sequence.",chromosome,75,1.30,0.19,622097,615212,531494,3708579,3185,0
,NODE_3_length_531494_cov_9.181189,1211817.3.CCAT010000009,Candidatus Clostridium anorexicamassiliense AP5,1211817.3,CCAT010000009,"Candidatus Clostridium anorexicamassiliense AP5 WGS project CCAT000000000 data, contig 00009, whole genome shotgun sequence.",contig,81,0.76,4.03,23334,27331,531494,99146,3142,0
,NODE_3_length_531494_cov_9.181189,632245.3.NZ_ACOM01000005,Clostridium butyricum E4 str. BoNT E BL5262,632245.3,NZ_ACOM01000005,"Clostridium butyricum E4 str. BoNT E BL5262 CLP.Contig65, whole genome shotgun sequence.",chromosome,87,0.50,0.12,1518707,1521362,531494,2252949,3004,0
,NODE_4_length_418912_cov_10.696959,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,99,24.76,2.73,778638,882378,418912,3800327,185752,0
,NODE_4_length_418912_cov_10.696959,1121319.3.JMLJ01000003,Clostridium hydrogeniformans DSM 21757,1121319.3,JMLJ01000003,"Clostridium hydrogeniformans DSM 21757 BR69DRAFT_scaffold00002.2_C, whole genome shotgun sequence.",scaffold,84,1.32,0.86,285494,279970,418912,638929,5294,0
,NODE_4_length_418912_cov_10.696959,1345695.3.CP006721,Clostridium saccharobutylicum DSM 13864,1345695.3,CP006721,"Clostridium saccharobutylicum DSM 13864, complete genome.",chromosome,84,1.34,0.11,4515330,4509748,418912,5107814,5260,0
,NODE_4_length_418912_cov_10.696959,137838.3.LN890328,Clostridium neonatale,137838.3,LN890328,"Clostridium neonatale genome assembly Clostridium neonatale, scaffold scaffold00017, whole genome shotgun sequence.",contig,82,1.34,0.18,1823216,1817656,418912,3165521,4826,0
,NODE_4_length_418912_cov_10.696959,1196322.3.ALXI01000165,Clostridium sp. Maddingley MBC34-26,1196322.3,ALXI01000165,"Clostridium sp. Maddingley MBC34-26 contig_331_4, whole genome shotgun sequence.",chromosome,88,0.85,2.50,116385,112824,418912,142355,4125,0
,NODE_4_length_418912_cov_10.696959,573061.5.NC_014393,Clostridium cellulovorans 743B,573061.5,NC_014393,"Clostridium cellulovorans 743B chromosome, complete genome.",chromosome,84,1.00,0.08,2376718,2380897,418912,5262222,4103,0
,NODE_4_length_418912_cov_10.696959,641107.3.AFWX01000002,Clostridium sp. DL-VIII,641107.3,AFWX01000002,"Clostridium sp. DL-VIII CDLVIIIscaffold_1_Cont2, whole genome shotgun sequence.",chromosome,88,0.84,0.10,2565327,2561784,418912,3708579,4103,0
,NODE_4_length_418912_cov_10.696959,931276.5.CP004121,Clostridium saccharoperbutylacetonicum N1-4(HMT) strain N1-4(HMT),931276.5,CP004121,"Clostridium saccharoperbutylacetonicum N1-4(HMT), complete genome.",chromosome,87,0.85,0.05,5011956,5008405,418912,6530257,4066,0
,NODE_4_length_418912_cov_10.696959,290402.41.NC_009617,Clostridium beijerinckii NCIMB 8052,290402.41,NC_009617,"Clostridium beijerinckii NCIMB 8052, complete genome.",chromosome,87,0.85,0.06,4976684,4973129,418912,6000632,4049,0
,NODE_4_length_418912_cov_10.696959,137838.3.LN890327,Clostridium neonatale,137838.3,LN890327,"Clostridium neonatale genome assembly Clostridium neonatale, scaffold scaffold00016, whole genome shotgun sequence.",contig,79,1.40,0.71,74707,80603,418912,833594,4043,0
,NODE_5_length_232779_cov_11.766733,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,99,33.19,2.03,205276,282555,232779,3800327,138485,0
,NODE_5_length_232779_cov_11.766733,641107.3.AFWX01000001,Clostridium sp. DL-VIII,641107.3,AFWX01000001,"Clostridium sp. DL-VIII CDLVIIIscaffold_1_Cont1, whole genome shotgun sequence.",chromosome,85,7.72,0.65,450677,468635,232779,2768678,18595,0
,NODE_5_length_232779_cov_11.766733,290402.41.NC_009617,Clostridium beijerinckii NCIMB 8052,290402.41,NC_009617,"Clostridium beijerinckii NCIMB 8052, complete genome.",chromosome,87,6.92,0.27,191872,208012,232779,6000632,17790,0
,NODE_5_length_232779_cov_11.766733,1345695.3.CP006721,Clostridium saccharobutylicum DSM 13864,1345695.3,CP006721,"Clostridium saccharobutylicum DSM 13864, complete genome.",chromosome,86,6.99,0.32,218391,234647,232779,5107814,17744,0
,NODE_5_length_232779_cov_11.766733,137838.3.LN890326,Clostridium neonatale,137838.3,LN890326,"Clostridium neonatale genome assembly Clostridium neonatale, scaffold scaffold00015, whole genome shotgun sequence.",contig,85,7.71,5.68,271937,254030,232779,315247,17729,0
,NODE_5_length_232779_cov_11.766733,931276.5.CP004121,Clostridium saccharoperbutylacetonicum N1-4(HMT) strain N1-4(HMT),931276.5,CP004121,"Clostridium saccharoperbutylacetonicum N1-4(HMT), complete genome.",chromosome,86,6.91,0.25,193361,209442,232779,6530257,17596,0
,NODE_5_length_232779_cov_11.766733,1196322.3.ALXI01000140,Clostridium sp. Maddingley MBC34-26,1196322.3,ALXI01000140,"Clostridium sp. Maddingley MBC34-26 contig_278_15, whole genome shotgun sequence.",chromosome,86,6.92,8.18,26659,42801,232779,197351,17465,0
,NODE_5_length_232779_cov_11.766733,632245.3.NZ_ACOM01000004,Clostridium butyricum E4 str. BoNT E BL5262,632245.3,NZ_ACOM01000004,"Clostridium butyricum E4 str. BoNT E BL5262 CLP.Contig62, whole genome shotgun sequence.",chromosome,86,6.91,2.13,707168,691093,232779,754259,17073,0
,NODE_5_length_232779_cov_11.766733,1492.48.CP013252,Clostridium butyricum strain KNU-L09,1492.48,CP013252,"Clostridium butyricum strain KNU-L09 chromosome 1, complete sequence.",chromosome,86,6.91,0.42,522107,538182,232779,3824894,17068,0
,NODE_5_length_232779_cov_11.766733,457396.3.NZ_EQ999773,Clostridium sp. 7_2_43FAA,457396.3,NZ_EQ999773,"Clostridium sp. 7_2_43FAA genomic scaffold supercont1.1, whole genome shotgun sequence.",chromosome,83,6.90,0.50,46543,62603,232779,3237979,14701,0
,NODE_6_length_219427_cov_7.941341,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,99,6.92,0.40,2208515,2193323,219427,3800327,27234,0
,NODE_6_length_219427_cov_7.941341,1492.48.CP013252,Clostridium butyricum strain KNU-L09,1492.48,CP013252,"Clostridium butyricum strain KNU-L09 chromosome 1, complete sequence.",chromosome,94,2.24,0.13,2523896,2518979,219427,3824894,7465,0
,NODE_6_length_219427_cov_7.941341,195103.10.NC_008261,Clostridium perfringens ATCC 13124,195103.10,NC_008261,"Clostridium perfringens ATCC 13124, complete genome.",chromosome,80,3.32,0.22,1338556,1345777,219427,3256683,5351,0
,NODE_6_length_219427_cov_7.941341,195102.6.NC_003366,Clostridium perfringens str. 13,195102.6,NC_003366,"Clostridium perfringens str. 13, complete genome.",chromosome,80,3.32,0.24,1127692,1134913,219427,3031430,5345,0
,NODE_6_length_219427_cov_7.941341,1391647.3.AVSV01000028,Clostridium sp. Ade.TY,1391647.3,AVSV01000028,"Clostridium sp. Ade.TY contig28, whole genome shotgun sequence.",chromosome,83,2.77,3.05,115786,109720,219427,199211,5310,0
,NODE_6_length_219427_cov_7.941341,1415775.6.CP006905,Clostridium baratii str. Sullivan,1415775.6,CP006905,"Clostridium baratii str. Sullivan, complete genome.",chromosome,82,2.76,0.19,89862,83799,219427,3153266,5223,0
,NODE_6_length_219427_cov_7.941341,1410653.3.JHVC01000015,Clostridium lundense DSM 17049,1410653.3,JHVC01000015,"Clostridium lundense DSM 17049 T514DRAFT_scaffold00014.14_C, whole genome shotgun sequence.",scaffold,82,2.70,6.03,31943,26010,219427,98338,5072,0
,NODE_6_length_219427_cov_7.941341,1487921.3.JMFY01000002,Clostridium sp. HMP27,1487921.3,JMFY01000002,"Clostridium sp. HMP27 Clostridium-HMP27_contig_2, whole genome shotgun sequence.",contig,82,2.70,2.43,209814,215744,219427,243860,4982,0
,NODE_6_length_219427_cov_7.941341,1292035.3.AQGJ01000161,Clostridium sordellii VPI 9048,1292035.3,AQGJ01000161,"Clostridium sordellii VPI 9048 cs9048.contig.160, whole genome shotgun sequence.",chromosome,87,1.78,1.40,265133,261230,219427,278935,4293,0
,NODE_6_length_219427_cov_7.941341,1505.7.LN681234,[Clostridium] sordellii strain JGS6382,1505.7,LN681234,"[Clostridium] sordellii genome assembly JGS6382, chromosome : 1.",chromosome,87,1.78,0.11,2085146,2081243,219427,3456852,4293,0
,NODE_7_length_195333_cov_7.048395,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,99,20.00,1.03,2081192,2120280,195333,3800327,69424,0
,NODE_7_length_195333_cov_7.048395,212717.8.NC_004557,Clostridium tetani E88,212717.8,NC_004557,"Clostridium tetani E88, complete genome.",chromosome,79,3.15,0.22,2036216,2042360,195333,2799251,4296,0
,NODE_7_length_195333_cov_7.048395,1345695.3.CP006721,Clostridium saccharobutylicum DSM 13864,1345695.3,CP006721,"Clostridium saccharobutylicum DSM 13864, complete genome.",chromosome,82,2.32,0.09,4763459,4768015,195333,5107814,3947,0
,NODE_7_length_195333_cov_7.048395,290402.41.NC_009617,Clostridium beijerinckii NCIMB 8052,290402.41,NC_009617,"Clostridium beijerinckii NCIMB 8052, complete genome.",chromosome,90,1.23,0.04,2644787,2642383,195333,6000632,3146,0
,NODE_7_length_195333_cov_7.048395,536227.3.NZ_ACVI01000022,Clostridium carboxidivorans P7,536227.3,NZ_ACVI01000022,"Clostridium carboxidivorans P7 ctg00086, whole genome shotgun sequence.",chromosome,89,1.04,3.51,51875,49840,195333,57969,2459,0
,NODE_7_length_195333_cov_7.048395,1560217.3.LITJ01000003,Clostridium sp. L74,1560217.3,LITJ01000003,"Clostridium sp. L74 contig00003, whole genome shotgun sequence.",contig,85,1.20,0.95,148587,150919,195333,245120,2321,0
,NODE_7_length_195333_cov_7.048395,931276.5.CP004121,Clostridium saccharoperbutylacetonicum N1-4(HMT) strain N1-4(HMT),931276.5,CP004121,"Clostridium saccharoperbutylacetonicum N1-4(HMT), complete genome.",chromosome,75,2.77,0.08,3488738,3483335,195333,6530257,2308,0
,NODE_7_length_195333_cov_7.048395,1196322.3.ALXI01000010,Clostridium sp. Maddingley MBC34-26,1196322.3,ALXI01000010,"Clostridium sp. Maddingley MBC34-26 contig_14_2, whole genome shotgun sequence.",chromosome,89,0.94,1.44,27655,25820,195333,127158,2295,0
,NODE_7_length_195333_cov_7.048395,641107.3.AFWX01000001,Clostridium sp. DL-VIII,641107.3,AFWX01000001,"Clostridium sp. DL-VIII CDLVIIIscaffold_1_Cont1, whole genome shotgun sequence.",chromosome,89,0.95,0.07,2104249,2102401,195333,2768678,2261,0
,NODE_7_length_195333_cov_7.048395,573061.5.NC_014393,Clostridium cellulovorans 743B,573061.5,NC_014393,"Clostridium cellulovorans 743B chromosome, complete genome.",chromosome,90,0.88,0.03,1467897,1466174,195333,5262222,2258,0
,NODE_8_length_172178_cov_11.623658,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,99,21.40,0.97,130447,93624,172178,3800327,65530,0
,NODE_8_length_172178_cov_11.623658,1345695.3.CP006721,Clostridium saccharobutylicum DSM 13864,1345695.3,CP006721,"Clostridium saccharobutylicum DSM 13864, complete genome.",chromosome,85,2.60,0.09,55790,51290,172178,5107814,4634,0
,NODE_8_length_172178_cov_11.623658,1196322.3.ALXI01000138,Clostridium sp. Maddingley MBC34-26,1196322.3,ALXI01000138,"Clostridium sp. Maddingley MBC34-26 contig_278_13, whole genome shotgun sequence.",chromosome,86,2.48,13.26,27581,23304,172178,32264,4610,0
,NODE_8_length_172178_cov_11.623658,632245.3.NZ_ACOM01000009,Clostridium butyricum E4 str. BoNT E BL5262,632245.3,NZ_ACOM01000009,"Clostridium butyricum E4 str. BoNT E BL5262 CLP.Contig64, whole genome shotgun sequence.",chromosome,86,2.48,2.67,46955,42683,172178,160173,4599,0
,NODE_8_length_172178_cov_11.623658,1492.48.CP013252,Clostridium butyricum strain KNU-L09,1492.48,CP013252,"Clostridium butyricum strain KNU-L09 chromosome 1, complete sequence.",chromosome,86,2.48,0.11,366881,362609,172178,3824894,4588,0
,NODE_8_length_172178_cov_11.623658,931276.5.CP004121,Clostridium saccharoperbutylacetonicum N1-4(HMT) strain N1-4(HMT),931276.5,CP004121,"Clostridium saccharoperbutylacetonicum N1-4(HMT), complete genome.",chromosome,86,2.49,0.07,46143,41860,172178,6530257,4529,0
,NODE_8_length_172178_cov_11.623658,290402.41.NC_009617,Clostridium beijerinckii NCIMB 8052,290402.41,NC_009617,"Clostridium beijerinckii NCIMB 8052, complete genome.",chromosome,86,2.49,0.07,44669,40383,172178,6000632,4527,0
,NODE_8_length_172178_cov_11.623658,137838.3.LN890324,Clostridium neonatale,137838.3,LN890324,"Clostridium neonatale genome assembly Clostridium neonatale, scaffold scaffold00013, whole genome shotgun sequence.",contig,86,2.49,2.93,110552,114841,172178,146238,4472,0
,NODE_8_length_172178_cov_11.623658,641107.3.AFWX01000001,Clostridium sp. DL-VIII,641107.3,AFWX01000001,"Clostridium sp. DL-VIII CDLVIIIscaffold_1_Cont1, whole genome shotgun sequence.",chromosome,85,2.50,0.16,305431,301135,172178,2768678,4385,0
,NODE_8_length_172178_cov_11.623658,545697.3.AMEZ01000002,Clostridium celatum DSM 1785,545697.3,AMEZ01000002,"Clostridium celatum DSM 1785 C_celatum-1.0_Cont1.1, whole genome shotgun sequence.",chromosome,83,2.51,13.22,11194,6875,172178,32677,3886,0
,NODE_9_length_90667_cov_11.116689,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,98,20.84,0.50,3776289,3757405,90667,3800327,33156,0
,NODE_9_length_90667_cov_11.116689,1345695.3.CP006721,Clostridium saccharobutylicum DSM 13864,1345695.3,CP006721,"Clostridium saccharobutylicum DSM 13864, complete genome.",chromosome,81,9.81,0.17,8913,23,90667,5107814,7077,0
,NODE_9_length_90667_cov_11.116689,931276.5.CP004121,Clostridium saccharoperbutylacetonicum N1-4(HMT) strain N1-4(HMT),931276.5,CP004121,"Clostridium saccharoperbutylacetonicum N1-4(HMT), complete genome.",chromosome,81,9.77,0.14,8880,25,90667,6530257,7024,0
,NODE_9_length_90667_cov_11.116689,1196322.3.ALXI01000011,Clostridium sp. Maddingley MBC34-26,1196322.3,ALXI01000011,"Clostridium sp. Maddingley MBC34-26 contig_14_3, whole genome shotgun sequence.",chromosome,81,9.78,21.50,40649,31809,90667,41113,7011,0
,NODE_9_length_90667_cov_11.116689,641107.3.AFWX01000001,Clostridium sp. DL-VIII,641107.3,AFWX01000001,"Clostridium sp. DL-VIII CDLVIIIscaffold_1_Cont1, whole genome shotgun sequence.",chromosome,81,9.80,0.32,260576,251705,90667,2768678,6719,0
,NODE_9_length_90667_cov_11.116689,290402.41.NC_009617,Clostridium beijerinckii NCIMB 8052,290402.41,NC_009617,"Clostridium beijerinckii NCIMB 8052, complete genome.",chromosome,81,9.79,0.15,9060,206,90667,6000632,6704,0
,NODE_9_length_90667_cov_11.116689,137838.3.LN890325,Clostridium neonatale,137838.3,LN890325,"Clostridium neonatale genome assembly Clostridium neonatale, scaffold scaffold00014, whole genome shotgun sequence.",contig,80,9.81,5.85,1626,10482,90667,151349,6427,0
,NODE_9_length_90667_cov_11.116689,1280689.3.AUJC01000014,Clostridium paraputrificum AGR2156,1280689.3,AUJC01000014,"Clostridium paraputrificum AGR2156 G594DRAFT_scaffold00012.12_C, whole genome shotgun sequence.",chromosome,77,11.86,14.53,73163,62410,90667,74002,6217,0
,NODE_9_length_90667_cov_11.116689,1202534.3.ASRV01000153,Clostridium sartagoforme AAU1,1202534.3,ASRV01000153,"Clostridium sartagoforme AAU1 contig00177, whole genome shotgun sequence.",chromosome,77,11.11,59.33,16558,6459,90667,17023,5718,0
,NODE_9_length_90667_cov_11.116689,1391647.3.AVSV01000014,Clostridium sp. Ade.TY,1391647.3,AVSV01000014,"Clostridium sp. Ade.TY contig14, whole genome shotgun sequence.",chromosome,78,9.70,24.90,542,9400,90667,35574,5596,0
,NODE_10_length_68686_cov_10.865094,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,98,16.28,0.29,3642276,3631119,68686,3800327,19398,0
,NODE_10_length_68686_cov_10.865094,1280689.3.AUJC01000016,Clostridium paraputrificum AGR2156,1280689.3,AUJC01000016,"Clostridium paraputrificum AGR2156 G594DRAFT_scaffold00014.14_C, whole genome shotgun sequence.",chromosome,79,3.96,8.37,5586,2860,68686,32586,1848,0
,NODE_10_length_68686_cov_10.865094,137838.3.LN890323,Clostridium neonatale,137838.3,LN890323,"Clostridium neonatale genome assembly Clostridium neonatale, scaffold scaffold00012, whole genome shotgun sequence.",contig,86,2.42,2.23,3657,1972,68686,75643,1781,0
,NODE_10_length_68686_cov_10.865094,1345695.3.CP006721,Clostridium saccharobutylicum DSM 13864,1345695.3,CP006721,"Clostridium saccharobutylicum DSM 13864, complete genome.",chromosome,88,2.06,0.03,4932894,4931482,68686,5107814,1645,0
,NODE_10_length_68686_cov_10.865094,632245.3.NZ_ACOM01000008,Clostridium butyricum E4 str. BoNT E BL5262,632245.3,NZ_ACOM01000008,"Clostridium butyricum E4 str. BoNT E BL5262 CLP.Contig71, whole genome shotgun sequence.",chromosome,87,2.05,4.96,20246,18840,68686,28354,1563,0
,NODE_10_length_68686_cov_10.865094,1492.48.CP013252,Clostridium butyricum strain KNU-L09,1492.48,CP013252,"Clostridium butyricum strain KNU-L09 chromosome 1, complete sequence.",chromosome,87,2.05,0.04,123636,122226,68686,3824894,1558,0
,NODE_10_length_68686_cov_10.865094,1280692.3.AUJL01000035,Clostridium cadaveris AGR2141,1280692.3,AUJL01000035,"Clostridium cadaveris AGR2141 G605DRAFT_scaffold00032.32_C, whole genome shotgun sequence.",chromosome,83,2.42,6.27,6009,7664,68686,26391,1466,0
,NODE_10_length_68686_cov_10.865094,1202534.3.ASRV01000019,Clostridium sartagoforme AAU1,1202534.3,ASRV01000019,"Clostridium sartagoforme AAU1 contig00029, whole genome shotgun sequence.",chromosome,84,2.07,1.53,31411,29987,68686,92839,1321,0
,NODE_10_length_68686_cov_10.865094,1391647.3.AVSV01000046,Clostridium sp. Ade.TY,1391647.3,AVSV01000046,"Clostridium sp. Ade.TY contig46, whole genome shotgun sequence.",chromosome,80,2.41,6.33,16089,14440,68686,26069,1253,0
,NODE_10_length_68686_cov_10.865094,457396.3.NZ_EQ999773,Clostridium sp. 7_2_43FAA,457396.3,NZ_EQ999773,"Clostridium sp. 7_2_43FAA genomic scaffold supercont1.1, whole genome shotgun sequence.",chromosome,82,2.11,0.04,152974,154427,68686,3237979,1220,0
,NODE_11_length_39862_cov_37.955480,1211817.3.CCAT010000003,Candidatus Clostridium anorexicamassiliense AP5,1211817.3,CCAT010000003,"Candidatus Clostridium anorexicamassiliense AP5 WGS project CCAT000000000 data, contig 00003, whole genome shotgun sequence.",contig,75,10.35,4.20,8212,12331,39862,98211,1682,0
,NODE_11_length_39862_cov_37.955480,1196322.3.ALXI01000074,Clostridium sp. Maddingley MBC34-26,1196322.3,ALXI01000074,"Clostridium sp. Maddingley MBC34-26 contig_127_2, whole genome shotgun sequence.",chromosome,76,6.68,3.03,20284,22952,39862,88157,1379,0
,NODE_11_length_39862_cov_37.955480,508765.6.NC_010674,Clostridium botulinum B str. Eklund 17B,508765.6,NC_010674,"Clostridium botulinum B str. Eklund 17B, complete genome.",chromosome,97,1.90,0.02,2860714,2861469,39862,3800327,1292,0
